batch_idx,horizon_idx,eef_pose_0,eef_pose_1
0,0,-0.5340024828910828,0.2061898559331894
0,1,-0.5339746475219727,0.19958677887916565
1,0,-0.5410577058792114,0.028554076328873634
1,1,-0.5410470962524414,0.028576230630278587
2,0,-0.40699756145477295,0.05852236598730087
2,1,-0.4099940359592438,0.058541540056467056
3,0,-0.5462294220924377,0.33839890360832214
3,1,-0.5413498282432556,0.3437935709953308
4,0,-0.42387181520462036,0.03822925314307213
4,1,-0.4260031580924988,0.03923941031098366
5,0,-0.28823748230934143,0.2927473783493042
5,1,-0.2950601279735565,0.28861740231513977
6,0,-0.660209596157074,0.04426588490605354
6,1,-0.6579475402832031,0.045386843383312225
7,0,-0.2882780134677887,0.2893582582473755
7,1,-0.29094305634498596,0.28556138277053833
8,0,-0.8012239336967468,0.3233078420162201
8,1,-0.8071168661117554,0.32322439551353455
9,0,-0.4772111177444458,0.049350373446941376
9,1,-0.47858479619026184,0.049841344356536865
10,0,-0.6092482209205627,0.14362767338752747
10,1,-0.6067007184028625,0.15755139291286469
11,0,-0.5505992770195007,0.2784825265407562
11,1,-0.5703009963035583,0.27864736318588257
12,0,-0.5708417296409607,-0.2995373606681824
12,1,-0.5540127754211426,-0.3041309118270874
13,0,-0.5114708542823792,-0.00471730949357152
13,1,-0.5104902982711792,-0.009955400601029396
14,0,-0.5344904661178589,0.20424281060695648
14,1,-0.5344868898391724,0.20230665802955627
15,0,-0.645060122013092,0.053643129765987396
15,1,-0.6446474194526672,0.05362241342663765
16,0,-0.5805692672729492,0.2311716079711914
16,1,-0.5698578953742981,0.23523160815238953
17,0,-0.5828230977058411,-0.09936930984258652
17,1,-0.582822859287262,-0.09505119919776917
18,0,-0.29143866896629333,0.21728459000587463
18,1,-0.2921275198459625,0.20528973639011383
19,0,-0.6808763146400452,0.058438997715711594
19,1,-0.6795556545257568,0.051616933196783066
20,0,-0.2957805395126343,0.2954963743686676
20,1,-0.28923627734184265,0.2952994704246521
21,0,-0.5515713691711426,0.14832055568695068
21,1,-0.5456467270851135,0.16084307432174683
22,0,-0.31067955493927,0.3042958676815033
22,1,-0.3068988621234894,0.30049267411231995
23,0,-0.47364601492881775,0.05574566125869751
23,1,-0.47409868240356445,0.05585699528455734
24,0,-0.5387389063835144,0.11872367560863495
24,1,-0.5385395288467407,0.11873547732830048
25,0,-0.4672631621360779,0.05312606319785118
25,1,-0.4691339433193207,0.05311911553144455
26,0,-0.7094462513923645,0.34645241498947144
26,1,-0.7039301991462708,0.3393218517303467
27,0,-0.4404405951499939,0.24544966220855713
27,1,-0.4202926456928253,0.25654640793800354
28,0,-0.694633960723877,-0.0202706977725029
28,1,-0.6961451768875122,-0.0005936836241744459
29,0,-0.4787216782569885,0.3147527873516083
29,1,-0.4816659986972809,0.3087925612926483
30,0,-0.6534255146980286,0.05892045050859451
30,1,-0.6519882678985596,0.06387769430875778
31,0,-0.6517910361289978,0.04016720876097679
31,1,-0.6504644155502319,0.040178537368774414
32,0,-0.588056206703186,0.08561539649963379
32,1,-0.5880342721939087,0.08556640148162842
33,0,-0.6230390667915344,0.09645815193653107
33,1,-0.6226736903190613,0.07739759981632233
34,0,-0.48131316900253296,-0.00637964578345418
34,1,-0.48309773206710815,-0.012822424992918968
35,0,-0.5984599590301514,0.1977258175611496
35,1,-0.6085143089294434,0.1977091282606125
36,0,-0.5283756256103516,0.17877353727817535
36,1,-0.5281751155853271,0.17645956575870514
37,0,-0.5411447882652283,0.012562255375087261
37,1,-0.5411062240600586,0.01485230028629303
38,0,-0.6738365888595581,0.1320306658744812
38,1,-0.6802393198013306,0.13201816380023956
39,0,-0.3840077221393585,-0.06162164732813835
39,1,-0.37753167748451233,-0.061599913984537125
40,0,-0.6639325618743896,0.06157039478421211
40,1,-0.6638133525848389,0.06147480010986328
41,0,-0.5512385964393616,-0.21495094895362854
41,1,-0.5564635396003723,-0.21294184029102325
42,0,-0.7843117117881775,0.15190166234970093
42,1,-0.7883924841880798,0.14577507972717285
43,0,-0.5530593395233154,0.1559562087059021
43,1,-0.5577914714813232,0.1515299528837204
44,0,-0.5460169911384583,0.029995152726769447
44,1,-0.5480213165283203,0.02486550062894821
45,0,-0.6439797878265381,-0.21324677765369415
45,1,-0.6437469124794006,-0.20917950570583344
46,0,-0.543628454208374,-0.018539801239967346
46,1,-0.5435910820960999,-0.016803568229079247
47,0,-0.48551204800605774,-0.012084382586181164
47,1,-0.49429425597190857,-0.025017790496349335
48,0,-0.4582952558994293,0.38647520542144775
48,1,-0.45847076177597046,0.38309526443481445
49,0,-0.5509002804756165,0.09310578554868698
49,1,-0.5550650954246521,0.09842751920223236
50,0,-0.6586963534355164,0.06553168594837189
50,1,-0.6587740778923035,0.07165039330720901
51,0,-0.4677446186542511,0.05787799134850502
51,1,-0.4697149395942688,0.057885702699422836
52,0,-0.4670645594596863,0.007506144233047962
52,1,-0.46693137288093567,0.008673074655234814
53,0,-0.8060961365699768,-0.07497795671224594
53,1,-0.8125481009483337,-0.07572750002145767
54,0,-0.39328625798225403,-0.26594114303588867
54,1,-0.39322134852409363,-0.2659463882446289
55,0,-0.6831616163253784,0.03538897633552551
55,1,-0.6838321089744568,0.041284821927547455
56,0,-0.4239448606967926,0.29689905047416687
56,1,-0.43688005208969116,0.2994512617588043
57,0,-0.6465146541595459,0.07952795177698135
57,1,-0.6451919674873352,0.07954829186201096
58,0,-0.5539155602455139,0.16838979721069336
58,1,-0.5537554025650024,0.16237673163414001
59,0,-0.5137254595756531,0.15391989052295685
59,1,-0.5175507068634033,0.1594540923833847
60,0,-0.4620116949081421,-0.25348159670829773
60,1,-0.4649738073348999,-0.2591453194618225
61,0,-0.38831159472465515,-0.11973147839307785
61,1,-0.39223194122314453,-0.12250858545303345
62,0,-0.6436043977737427,0.057726792991161346
62,1,-0.6433809995651245,0.05757250264286995
63,0,-0.5571398138999939,-0.09830030053853989
63,1,-0.5585554838180542,-0.09424466639757156
